Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.08333,0,0,3.46995364e-36,4.39082412e-37
0.08333,0,15.0000004,1.95685816e-35,5.61347654e-37
0.08333,0,30.0000008,2.5554679e-35,3.87161591e-36
0.08333,0,45.0000013,1.31500007e-35,1.13514564e-35
0.08333,0,60.0000017,1.08029708e-36,1.2255881e-36
0.08333,0,74.9999987,8.17177984e-37,1.56322776e-36
0.08333,0,90.0000025,7.94617729e-38,9.00835762e-36
0.08333,0,105,9.27173669e-38,1.08101464e-35
0.08333,0,120.000003,1.67011908e-36,4.75296852e-37
0.08333,0,135,1.07634043e-35,8.72258995e-36
0.08333,0,149.999997,1.15197313e-35,1.52259138e-37
0.08333,0,164.999994,4.48169849e-36,3.06963285e-37
0.08333,0,180.000005,1.76926841e-36,8.2677041e-38
0.08333,0,195.000002,8.40677629e-36,3.00373873e-36
0.08333,0,209.999999,6.35531857e-37,9.49118238e-37
0.08333,0,224.999996,4.5818616e-36,1.69164356e-36
0.08333,0,240.000007,8.69046188e-36,2.9026032e-35
0.08333,0,255.000004,8.35956782e-36,5.0737874e-36
0.08333,0,270.000001,1.68271249e-37,9.90265599e-36
0.08333,0,284.999998,1.45395859e-36,2.70756958e-35
0.08333,0,299.999995,1.83553732e-37,5.95789095e-36
0.08333,0,314.999992,6.46616383e-36,7.63405664e-36
0.08333,0,329.999989,1.16172319e-35,1.5121588e-36
0.08333,0,345.000013,4.39641273e-36,2.38629084e-36
0.08333,0,360.00001,3.46995364e-36,4.39082412e-37
0.08333,15.0000004,0,1.22706787e-35,0.00151667849
0.08333,15.0000004,15.0000004,4.72607847e-13,0.00151669269
0.08333,15.0000004,30.0000008,1.39393759e-12,0.00151673192
0.08333,15.0000004,45.0000013,1.81558284e-12,0.00151678396
0.08333,15.0000004,60.0000017,1.32987458e-12,0.00151683541
0.08333,15.0000004,74.9999987,4.3562132e-13,0.00151687197
0.08333,15.0000004,90.0000025,1.32301973e-26,0.00151688512
0.08333,15.0000004,105,4.35621239e-13,0.00151687197
0.08333,15.0000004,120.000003,1.3298749e-12,0.00151683541
0.08333,15.0000004,135,1.81558284e-12,0.00151678396
0.08333,15.0000004,149.999997,1.39393759e-12,0.00151673192
0.08333,15.0000004,164.999994,4.72608226e-13,0.00151669269
0.08333,15.0000004,180.000005,5.81519293e-26,0.00151667849
0.08333,15.0000004,195.000002,4.72607955e-13,0.00151669269
0.08333,15.0000004,209.999999,1.39393727e-12,0.00151673192
0.08333,15.0000004,224.999996,1.81558284e-12,0.00151678396
0.08333,15.0000004,240.000007,1.32987425e-12,0.00151683541
0.08333,15.0000004,255.000004,4.35620967e-13,0.00151687197
0.08333,15.0000004,270.000001,9.85000018e-28,0.00151688512
0.08333,15.0000004,284.999998,4.35621157e-13,0.00151687197
0.08333,15.0000004,299.999995,1.32987425e-12,0.00151683541
0.08333,15.0000004,314.999992,1.81558284e-12,0.00151678396
0.08333,15.0000004,329.999989,1.39393792e-12,0.00151673192
0.08333,15.0000004,345.000013,4.72607142e-13,0.00151669269
0.08333,15.0000004,360.00001,1.22706787e-35,0.00151667849
0.08333,30.0000008,0,1.36038566e-36,0.00568542676
0.08333,30.0000008,15.0000004,1.6822817e-12,0.00568547891
0.08333,30.0000008,30.0000008,4.75587755e-12,0.00568561768
0.08333,30.0000008,45.0000013,5.83274184e-12,0.00568579556
0.08333,30.0000008,60.0000017,4.01188067e-12,0.00568595948
0.08333,30.0000008,74.9999987,1.25273446e-12,0.00568607217
