Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.08333,0,0,4.19491965e-34,9.30908802e-36
0.08333,0,15.0000004,1.13745804e-34,2.83160959e-36
0.08333,0,30.0000008,2.90124587e-34,1.98981462e-34
0.08333,0,45.0000013,4.33400635e-34,3.34216749e-35
0.08333,0,60.0000017,2.87577966e-34,3.75231251e-34
0.08333,0,74.9999987,9.63247596e-35,1.39309362e-34
0.08333,0,90.0000025,2.77504471e-37,2.0774204e-34
0.08333,0,105,8.43720541e-35,1.15045184e-34
0.08333,0,120.000003,2.91249572e-34,3.04555617e-34
0.08333,0,135,2.34227902e-34,4.30943346e-34
0.08333,0,149.999997,1.06040209e-34,4.11289678e-34
0.08333,0,164.999994,7.50737618e-35,5.81275966e-36
0.08333,0,180.000005,1.78965268e-33,7.3492858e-37
0.08333,0,195.000002,2.02610741e-33,2.48287308e-35
0.08333,0,209.999999,8.89165876e-34,2.33583341e-35
0.08333,0,224.999996,3.16031794e-34,5.36348869e-34
0.08333,0,240.000007,1.47586622e-33,3.91377831e-35
0.08333,0,255.000004,2.87337932e-36,6.29063644e-34
0.08333,0,270.000001,1.31261981e-36,6.31632558e-34
0.08333,0,284.999998,1.8150178e-34,1.62607603e-34
0.08333,0,299.999995,5.04654556e-34,1.25443146e-33
0.08333,0,314.999992,1.93889207e-34,1.35787597e-34
0.08333,0,329.999989,2.98205296e-35,4.5730018e-34
0.08333,0,345.000013,2.06764199e-34,3.06302518e-35
0.08333,0,360.00001,4.19491965e-34,9.30908802e-36
0.08333,15.0000004,0,2.21307282e-12,0.0883042589
0.08333,15.0000004,15.0000004,1.24958681e-12,0.0883042738
0.08333,15.0000004,30.0000008,4.24763008e-13,0.0883042812
0.08333,15.0000004,45.0000013,1.43870359e-14,0.0883042961
0.08333,15.0000004,60.0000017,1.76734427e-13,0.0883042812
0.08333,15.0000004,74.9999987,8.30293787e-13,0.0883042738
0.08333,15.0000004,90.0000025,1.74207111e-12,0.0883042589
0.08333,15.0000004,105,2.68639538e-12,0.0883042738
0.08333,15.0000004,120.000003,3.48234115e-12,0.0883042812
0.08333,15.0000004,135,3.94334608e-12,0.0883042961
0.08333,15.0000004,149.999997,3.88229336e-12,0.0883042812
0.08333,15.0000004,164.999994,3.2406417e-12,0.0883042738
0.08333,15.0000004,180.000005,2.21092025e-12,0.0883042589
0.08333,15.0000004,195.000002,1.15119351e-12,0.0883042738
0.08333,15.0000004,209.999999,3.67093942e-13,0.0883042812
0.08333,15.0000004,224.999996,1.35828941e-14,0.0883042961
0.08333,15.0000004,240.000007,1.44884037e-13,0.0883042812
0.08333,15.0000004,255.000004,7.57448195e-13,0.0883042738
