freq : 83.33 MHz
SWR : 1.965000
Theta     Phi     Gain(dB)     Gain     Phase(deg)
0        0        -348.9631      83.5374      -103.911      
0        15        -334.0809      98.2288      34.5714      
0        30        -332.7985      140.529      102.5611      
0        45        -339.4002      169.7598      38.2641      
0        60        -326.3825      -26.8812      104.0201      
0        75        -335.4489      15.8769      62.5444      
0        90        -334.3962      36.7409      -93.5545      
0        105        -332.4925      -60.6757      46.5243      
0        120        -331.8965      148.4823      -99.1851      
0        135        -353.9799      93.1666      -141.6131      
0        150        -338.4303      -104.5711      112.0114      
0        165        -335.6369      83.9998      110.7006      
0        180        -353.8439      -127.7451      -57.239      
0        195        -338.3976      -42.3778      36.6715      
0        210        -333.8197      -145.5956      -77.4748      
0        225        -328.8044      -178.4625      -112.3662      
0        240        -331.0334      -54.6781      -116.5152      
0        255        -328.3134      43.8697      -17.4397      
0        270        -333.1081      20.6853      -107.5005      
0        285        -338.7258      -165.0185      -4.8365      
0        300        -339.3778      34.2738      -57.1039      
0        315        -336.1368      -171.2504      -53.6971      
0        330        -348.2702      -21.45      -131.6897      
0        345        -330.2644      2.037      -100.5258      
0        360        -348.9631      83.5374      -103.911      
15        0        -12.0476      -126.3671      22.0372      
15        15        -12.047      -126.3662      -117.9242      
15        30        -12.0454      -126.3643      -120.44      
15        45        -12.0437      -126.363      -124.2657      
15        60        -12.0427      -126.3632      -129.9534      
15        75        -12.0422      -126.3643      -136.344      
15        90        -12.0421      -126.3649      38.8808      
15        105        -12.0422      -126.3643      43.3274      
15        120        -12.0427      -126.3632      49.6681      
15        135        -12.0437      -126.363      55.3136      
15        150        -12.0454      -126.3643      59.0099      
15        165        -12.047      -126.3661      60.9742      
15        180        -12.0476      -126.3671      58.0999      
15        195        -12.047      -126.3662      -118.8565      
15        210        -12.0454      -126.3643      -120.7736      
15        225        -12.0437      -126.363      -124.3195      
15        240        -12.0427      -126.3632      -129.6356      
15        255        -12.0422      -126.3643      -134.9835      
15        270        -12.0421      -126.3649      16.7731      
15        285        -12.0422      -126.3643      41.1732      
15        300        -12.0427      -126.3632      48.3347      
15        315        -12.0437      -126.363      54.2629      
15        330        -12.0454      -126.3643      57.9858      
15        345        -12.047      -126.3661      59.5295      
15        360        -12.0476      -126.3671      22.0372      
30        0        -6.385      -126.2045      16.9298      
30        15        -6.3837      -126.2019      -113.0424      
30        30        -6.3809      -126.1965      -116.8878      
30        45        -6.3787      -126.1935      -128.3085      
30        60        -6.3783      -126.1953      171.5022      
30        75        -6.3792      -126.1997      110.1591      
30        90        -6.3798      -126.202      74.4798      
30        105        -6.3792      -126.1997      -68.0644      
30        120        -6.3783      -126.1953      -5.5751      
30        135        -6.3787      -126.1934      51.8273      
30        150        -6.3809      -126.1965      62.8921      
